▶ Playwright 크롤러 시작 · limit=1000 concurrency=3 dryRun=false
✓ 로그인
✓ 대상 345 건
✓ Chromium 실행
  [138/345] Korean Megastore Belle (kmbelle.com) → (none)   3.8s/lead · found=0
  [139/345] Korean Cosmetics Peru (koreancosmetics.p → (none)   3.8s/lead · found=0
  [140/345] Korean Colors México → (none)   3.9s/lead · found=0
  [141/345] Korean Beauty Algeria (koreanbeautydz.co → (none)   3.8s/lead · found=0
  [142/345] Korean Beauty DZ (koreanbeautydz.com) → (none)   3.9s/lead · found=0
  [143/345] Korea.lt → (none)   3.9s/lead · found=0
  [144/345] Korean & Top Brands (korean-topbrands.co → (none)   4.0s/lead · found=0
  [145/345] Korean Beauty Shop EU (koreanbeautyshope → (none)   4.0s/lead · found=0
  [146/345] Korean Beauty Albania (koreanbeautyalban → (none)   4.0s/lead · found=0
  [147/345] Korea Skin Uruguay → (none)   4.0s/lead · found=0
  [148/345] Korean Beauty House Egypt → (none)   4.0s/lead · found=0
  [149/345] Kool Seoul (koolseoul.com) → (none)   4.0s/lead · found=0
  [150/345] Kool Seoul → (none)   4.0s/lead · found=0
  [151/345] Kool Seoul (koolseoul.com) → (none)   4.0s/lead · found=0
  [152/345] Kore Beauty Shop (korebeauty.shop) → (none)   4.0s/lead · found=0
  [153/345] Kore Beauty Shop → (none)   4.1s/lead · found=0
  [154/345] Kool Seoul (koolseoul.com) → (none)   4.1s/lead · found=0
  [155/345] Kool Seoul → (none)   4.1s/lead · found=0
  [156/345] KoCo.ee → (none)   4.1s/lead · found=0
  [157/345] Kollab (kollab.com.br) → (none)   4.2s/lead · found=0
  [158/345] KOKO Cosmetics (koko-cosmetics.kz) → (none)   4.2s/lead · found=0
  [159/345] Kollab (kollab.com.br) → (none)   4.2s/lead · found=0
  [160/345] KODERMA (koderma.sk) → (none)   4.2s/lead · found=0
  ↺ 브라우저 재시작 (누적 160건 · 발견 0건)
  [161/345] KOCOMETIC PK → (none)   4.2s/lead · found=0
  [162/345] KNatural → (none)   4.2s/lead · found=0
  [163/345] Kioko.lv → (none)   4.2s/lead · found=0
  [164/345] KoCos Korean Cosmetics (kocos.ge) → (none)   4.2s/lead · found=0
  [165/345] KICKS (KICKS Beauty Group / Axfood) → (none)   4.2s/lead · found=0
  [166/345] KICKS Norge → (none)   4.2s/lead · found=0
  [167/345] KKUL → (none)   4.2s/lead · found=0
  [168/345] KBEAUTY.LT → (none)   4.2s/lead · found=0
  [169/345] KBEAUTY.LT → (none)   4.2s/lead · found=0
  [170/345] Ko-co Beauty (ko-co.beauty) → (none)   4.2s/lead · found=0
  [171/345] Kikuubo Suppliers UG → (none)   4.2s/lead · found=0
  [172/345] KBEAUTY.LT → (none)   4.2s/lead · found=0
  [173/345] Kbeauty Stop CR → (none)   4.2s/lead · found=0
  [174/345] KBeauty Iceland (kbeauty.is) → (none)   4.2s/lead · found=0
  [175/345] Kbeauty Kuwait (kbeautykw.com) → (none)   4.2s/lead · found=0
